line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
678,79309.653620,46,192.168.88.253,58816,434,,congestion_avoidance,
679,79309.654058,47,192.168.88.253,58816,539,,congestion_avoidance,
680,79309.654599,48,192.168.88.253,58816,562,,congestion_avoidance,
681,79309.655132,49,192.168.88.253,58816,563,,congestion_avoidance,
682,79309.655966,50,192.168.88.253,58816,575,,congestion_avoidance,
683,79309.656668,51,192.168.88.253,58816,507,,congestion_avoidance,
684,79309.657267,52,192.168.88.253,58816,420,,congestion_avoidance,
685,79309.657841,53,192.168.88.253,58816,469,,congestion_avoidance,
686,79309.658479,54,192.168.88.253,58816,578,,congestion_avoidance,
687,79309.659046,55,192.168.88.253,58816,561,,congestion_avoidance,
688,79309.659659,56,192.168.88.253,58816,688,,congestion_avoidance,
689,79309.660583,57,192.168.88.253,58816,600,,congestion_avoidance,
690,79309.661134,58,192.168.88.253,58816,588,,congestion_avoidance,
691,79309.662072,59,192.168.88.253,58816,694,,congestion_avoidance,
692,79309.662689,60,192.168.88.253,58816,568,,congestion_avoidance,
693,79309.663279,61,192.168.88.253,58816,583,,congestion_avoidance,
694,79309.664214,62,192.168.88.253,58816,757,,congestion_avoidance,
695,79309.664811,63,192.168.88.253,58816,589,,congestion_avoidance,
696,79309.665677,64,192.168.88.253,58816,669,,congestion_avoidance,
697,79309.666535,65,192.168.88.253,58816,738,,congestion_avoidance,
698,79309.667240,66,192.168.88.253,58816,629,,congestion_avoidance,
699,79309.672819,17,192.168.88.253,58816,336,,fast_retransmit,
700,79309.673136,24,192.168.88.253,58816,1000,,fast_retransmit,
701,79309.673248,30,192.168.88.253,58816,1000,,fast_retransmit,
702,79309.673362,24,192.168.88.253,58816,1000,,fast_retransmit,
703,79309.673747,33,192.168.88.253,58816,351,,congestion_avoidance,
704,79309.674034,34,192.168.88.253,58816,381,,congestion_avoidance,
705,79309.674393,35,192.168.88.253,58816,424,,congestion_avoidance,
706,79309.674721,36,192.168.88.253,58816,399,,congestion_avoidance,
707,79309.675329,37,192.168.88.253,58816,294,,congestion_avoidance,
708,79309.675657,38,192.168.88.253,58816,449,,congestion_avoidance,
709,79309.676254,39,192.168.88.253,58816,347,,congestion_avoidance,
710,79309.676570,40,192.168.88.253,58816,474,,congestion_avoidance,
711,79309.677111,41,192.168.88.253,58816,335,,congestion_avoidance,
712,79309.677778,42,192.168.88.253,58816,484,,congestion_avoidance,
713,79309.678105,43,192.168.88.253,58816,461,,congestion_avoidance,
714,79309.678789,44,192.168.88.253,58816,458,,congestion_avoidance,
715,79309.679154,45,192.168.88.253,58816,494,,congestion_avoidance,
716,79309.679756,46,192.168.88.253,58816,370,,congestion_avoidance,
717,79309.680479,47,192.168.88.253,58816,579,,congestion_avoidance,
718,79309.680776,48,192.168.88.253,58816,568,,congestion_avoidance,
719,79309.681368,49,192.168.88.253,58816,435,,congestion_avoidance,
720,79309.682023,50,192.168.88.253,58816,549,,congestion_avoidance,
721,79309.682596,51,192.168.88.253,58816,628,,congestion_avoidance,
722,79309.683222,52,192.168.88.253,58816,480,,congestion_avoidance,
723,79309.683885,53,192.168.88.253,58816,658,,congestion_avoidance,
724,79309.684531,54,192.168.88.253,58816,469,,congestion_avoidance,
725,79309.685178,55,192.168.88.253,58816,561,,congestion_avoidance,
726,79309.686091,56,192.168.88.253,58816,673,,congestion_avoidance,
727,79309.686744,57,192.168.88.253,58816,504,,congestion_avoidance,
728,79309.687373,58,192.168.88.253,58816,698,,congestion_avoidance,
729,79309.688055,59,192.168.88.253,58816,604,,congestion_avoidance,
730,79309.688720,60,192.168.88.253,58816,742,,congestion_avoidance,
731,79309.689430,61,192.168.88.253,58816,645,,congestion_avoidance,
732,79309.690616,62,192.168.88.253,58816,506,,congestion_avoidance,
733,79309.690949,63,192.168.88.253,58816,485,,congestion_avoidance,
734,79309.691910,64,192.168.88.253,58816,771,,congestion_avoidance,
735,79309.692627,65,192.168.88.253,58816,683,,congestion_avoidance,
736,79309.693593,41,192.168.88.253,58816,596,,loss_recovery,
737,79309.693934,33,192.168.88.253,58816,697,,loss_recovery,
738,79309.694588,34,192.168.88.253,58816,304,,congestion_avoidance,
739,79309.694922,35,192.168.88.253,58816,328,,congestion_avoidance,
740,79309.695583,36,192.168.88.253,58816,336,,congestion_avoidance,
741,79309.698089,37,192.168.88.253,58816,255,,congestion_avoidance,
742,79309.698357,38,192.168.88.253,58816,377,,congestion_avoidance,
743,79309.698704,39,192.168.88.253,58816,408,,congestion_avoidance,
744,79309.699337,40,192.168.88.253,58816,332,,congestion_avoidance,
745,79309.699666,41,192.168.88.253,58816,323,,congestion_avoidance,
746,79309.700409,42,192.168.88.253,58816,363,,congestion_avoidance,
